No.,book_title,description,response
67,Kian,"Dark. Mysterious. Gorgeous.
Loved by all the girls.
Respected by all the guys.
...that was Kian Maston.
As the heir to a billion dollar empire, his future was promising until the day he saved my life. Everything changed for both of us, and there was one more word that could be used to describe him--dangerous.
The nation fell in love with him while falling in hate with me. He was sent to prison, and as far as they were concerned, it was my fault. I was forced to go into hiding until today.
Kian's being released from prison, and he should go back to being the golden boy he always was supposed to be. I should remain in hiding, living my life as normal as could be.
That's what we should do...","Viết bài đánh giá cuốn sách ""Kian"" tập trung vào sự thay đổi hình tượng từ ""chàng trai vàng"" được yêu mến thành ""người đàn ông nguy hiểm"" bị xã hội lên án, và tác động của sự thay đổi này lên cả Kian và nữ chính."
68,Persistence: All Ways Butch and Femme,"Lambda Literary Award finalist
American Library Association Stonewall Honor Book
In the summer of 2009, butch writer and storyteller Ivan Coyote and gender researcher and femme dynamo Zena Sharman wrote down a wish-list of their favourite queer authors; they wanted to continue and expand the butch-femme conversation. The result is Persistence: All Ways Butch and Femme. The stories in these pages resist simple definitions. The people in these stories defy reductive stereotypes and inflexible categories. The pages in this book describe the lives of an incredible diversity of people whose hearts also pounded for some reason the first time they read or heard the words ""butch"" or ""femme.""
Contributors such as Jewelle Gomez (The Gilda Stories), Thea Hillman (Intersex), S. Bear Bergman (Butch is a Noun), Chandra Mayor (All the Pretty Girls), Amber Dawn (Sub Rosa), Anna Camilleri (Brazen Femme), Debra Anderson (Code White), Anne Fleming (Anomaly), Michael V. Smith (Cumberland), and Zoe Whittall (Bottle Rocket Hearts) explore the parameters, history, and power of a multitude of butch and femme realities. It's a raucous, insightful, sexy, and sometimes dangerous look at what the words butch and femme can mean in today's ever-shifting gender landscape, with one eye on the past and the other on what is to come.
Includes a foreword by Joan Nestle, renowned femme author and editor of The Persistent Desire: A Femme-Butch Reader, a landmark anthology originally published in 1992.
Ivan E. Coyoteis the author of seven books (including the novel Bow Grip, an American Library Association Stonewall Honor Book) and a long-time muser on the trappings of the two-party gender system.
Zena Sharmanis the assistant director of Canada's national Institute of Gender and Health.","Tôi muốn viết bài đánh giá về cuốn sách ""Persistence: All Ways Butch and Femme"" tập trung vào cách các tác giả phá vỡ những khuôn mẫu cứng nhắc về giới và thể hiện sự đa dạng trong trải nghiệm butch và femme, đặc biệt là sự giao thoa giữa bản sắc cá nhân và lịch sử cộng đồng."
69,180 Proof Vega,"Emilio Vega is a shit-talking, eighteen-year-old gunrunner who is dragged out of the world of crime he grew up in, and forced to work for a covert organization that deals in assassination and political intrigue.
The full version of Volume 1 is expected to be published in 2015.
Note: The first three parts of Volume 1 are available for free on the author's GR profile.","Tôi muốn viết bài đánh giá cuốn ""180 Proof Vega"" tập trung vào sự xung đột giữa đạo đức và sự sinh tồn trong thế giới ngầm tội phạm mà Emilio Vega buộc phải thích nghi."
70,Fighting Ruben Wolfe : Every Dog has his Day,"It's the difference between being a winner and being a fighter...
Cameron and Ruben Wolfe are brothers from a family clinging to the ragged edge of the working class. Initially to make some money, the boys hook up with a sleazy fight promoter who sees something marketable and audience-pleasing in the untrained brothers' vulnerability.
So they hide the boxing from their long-suffering mother. And Cameron hides what's going on in his head from the girls who come to the matches, the girls he wishes he could reach.
But the Wolfes soon find that they're fighting for more than tips and pay-off money. It becomes for them a fight for identity, for dignity, and for each other.
The question is, in a fight like that, who makes it out of the ring intact?","Tôi muốn viết bài đánh giá về cuốn sách ""Fighting Ruben Wolfe: Every Dog has his Day"" tập trung vào sự chuyển biến tâm lý của hai anh em Cameron và Ruben từ những người đấu vì tiền bạc trở thành những người đấu vì danh dự và khẳng định bản thân, cũng như cái giá phải trả cho sự trưởng thành đó."
71,Life Swap,"What if a successful, single Londoner and a comfortable, Connecticut mother of two were to walk in each other?s shoes for a month? Vicky Townsley is the director of Poise! magazine and lives a glamorous London life. She has everything she wants?except marriage, children, and a house in the country. Amber Winslow has a stone mansion in Connecticut, two kids, and a nanny, but she hasn?t found the fulfillment she had expected from being a wife and mother. When she spots an intriguing contest in Poise! Amber impulsively enters, never expecting to be picked.
A must-read for every modern woman who?s ever considered the road not taken, Swapping Livesis a warm and realistic chronicle of two women who do more than wonder if the grass is greener on the other side of the Atlantic.","Tôi muốn viết bài đánh giá cuốn ""Life Swap"" tập trung vào cách cuốn sách khám phá sự xung đột giữa những kỳ vọng xã hội về hạnh phúc của phụ nữ - thành công sự nghiệp so với gia đình - và những lựa chọn cá nhân để đạt được sự viên mãn."
72,Marking Melody (Ashland Pride #3),"All were-mountain-lion Melody Marx ever wanted was to find her mate and start a family. After being rescued from her own people by two mountain lions, she knows that she's found not just one mate, but two. She goes with them to their old home in Pennsylvania, but finds an even chillier reception than she found in Ashland.
Tristan and Micah Harrison would do anything to keep Melody safe, even if it means walking away from the Ashland Pride and their own family forever. When problems arise in their hometown of King, Pennsylvania, it turns out that the males aren't the only ones who don't approve of their mating.
Be prepared for two males with plans to hold onto their mate forever, a female searching for a place to call home, and an enemy who is always looking for new ways to wreak havoc in the males' lives. This book contains sweet males, a feisty female, and m/f/m interaction.","Đánh giá cuốn ""Marking Melody (Ashland Pride #3)"" tập trung vào sự đấu tranh của Melody trong việc tìm kiếm một ""gia đình"" và ""mái ấm"" thực sự giữa những định kiến và xung đột từ cả hai cộng đồng người sói."
73,Maybe Baby,"Could a contract between them lead to more than a baby? Maybe.
Jen Chandler can't ignore the urgent ticking of her biological clock, no matter how many hours she puts in at work. The nesting instinct has kicked in big-time, and she wants a baby. After too many failed relationships, plus issues with intimacy, she isn't interested in acquiring a husband first. Instead, she sets out in search of a sperm donor to make her dream come true.
Logan Hardt, a laid-back cowboy who shows up at her Atlanta home one day, turns out to have the right genes, as well as a pressing need for cash. But he's seduced by more than Jen's generous offer, and the closer the time comes to say goodbye, the less willing he is to honor a contract that would require him to walk away and never look back.","Tôi muốn viết bài đánh giá về cuốn sách ""Maybe Baby"" tập trung vào sự giằng xé giữa tình cảm chân thật và những điều khoản ràng buộc trong hợp đồng, khi Logan dần nảy sinh tình cảm với Jen và không muốn rời đi."
74,Small Town Sinners,"Does falling in love mean falling out of faith? Small Town Sinners is the story of Lacey, a small-town girl who is excited to star in Hell House, her church's annual haunted house of sin, until a childhood friend reappears and makes her question her faith.","Đánh giá cuốn ""Small Town Sinners"" tập trung vào sự giằng xé giữa tình yêu đầu đời và những giáo điều tôn giáo khắt khe đã định hình nhân vật Lacey."
75,The Lonely Road,,"Tôi muốn viết bài đánh giá về cuốn sách ""The Lonely Road"" tập trung vào sự giằng xé giữa khát vọng tự do cá nhân và trách nhiệm gia đình của nhân vật chính trên hành trình cô độc của mình."
76,In The Clear,"Arne was content with her career as a hydrogen rigger, harvesting fuel from Saturn's clouds for use across the solar system, until two prospectors offered her a job that kindled old desires. She used to be an angel, a guide through the lightless sky beneath Saturn's clouds, but abandoned that deadly wasteland years ago. Now she returns, taking flight again on cybernetic wings to guide a new prototype through the invisible gale of the liquid sky. She used to know Saturn's depths well, but returning ignites old scars, and there is something new and unnatural waiting in the burning air.
Things begin to go sideways when Arne hears a strange voice from out in the void. No one else hears it, and Saturn remains as lifeless and vacant as ever, so Arne forges ahead. She ignores its warnings and descends deeper toward the unknown, but the unknown itself is rising up to meet her. Paranoia and fear bloom in Arne's mind as the empty sky fills with long buried secrets, casting doubt on the true purpose of the expedition and on her own sanity. Threatened with creeping madness and blocked from escape by her employer's obsessive ambition, Arne will have no choice but to face the abyss she has spent years trying to forget.
When the wind comes for her and her wings fail her, will she remember why she calls herself an angel?","Tôi muốn viết bài đánh giá về cuốn sách ""In The Clear"" tập trung vào cuộc đấu tranh nội tâm của Arne giữa sự thôi thúc khám phá những bí mật bị chôn vùi của quá khứ và nỗi sợ hãi sự điên cuồng tiềm ẩn trong những điều chưa biết của Saturn."
77,Meditations,"The emperor Marcus Aurelius, the proverbial philosopher-king, produced in Greek a Roman manual of piety, the Meditations, whose impact has been felt for ages since. Here, for our age, is his great work presented in its entirety, strongly introduced and freshly, elegantly translated.","Viết bài đánh giá cuốn ""Meditations"", tập trung vào cách cuốn sách thể hiện sự chấp nhận và bình thản trước những khó khăn và biến động của cuộc đời."
78,IA: Initiate  (IA #1),"Everyone has secrets... What if you didn't know your own?
One young man with latent supernatural abilities plus one street gang hell-bent on recruiting him equals... IA: Initiate.
The most importantthing in the world to thirteen-year-old orphan, ""Naz"" Andersen is keeping his little sister safe from the streets of a Chicago/Detroit-like urban ghetto known as the Exclave. Naz tries to stay out of the way at his foster parent's home, but he walks in his sleep. He is unable to keep the fact that he hears voices from his therapist. He attempts to go unnoticed at school and in the streets of the Exclave but attracts the attention of friends and bullies alike.
Naz is ordinary, or so he thinks. He harbors a secret of which he is unaware. A seemingly random act of gang violence propels Naz on a path that leads to discoveries about his supernatural abilities, abilities that will ultimately decide whether he lives or dies. Now he must navigate his turbulent surroundings and face the full force of the world around him. The only way he can survive is to discover the supernatural world within.
Pure science fiction, IA: Initiate is the first book in a YA supernatural thriller trilogy, an origin story, and a coming of age hero's journey set in the mean streets of America. It's like Anakin Skywalker growing up in a bad urban environment instead of a desert planet.
Award-winning author, John Darryl Winston has penned a story about, and for, those living the real story. Pick it up. Pick it up! PICK IT UP ... today!","Đánh giá cuốn sách ""IA: Initiate"" tập trung vào hành trình khám phá bản thân và sức mạnh tiềm ẩn của Naz, đồng thời phân tích cách tác giả xây dựng thế giới siêu nhiên ẩn sau vẻ ngoài khắc nghiệt của khu ổ chuột Exclave."
79,Indiana Jones and the Sargasso Pirates Vol. 2,"Dead men may tell no tales, but they also don't like anyone to mess with their gold! Indy's adrift with a band of brigands on the treacherous Sargasso Sea, the graveyard of lost ships. The still waters are an archaeologist's dream, but the treasures of the Sargasso have already been claimed by legendary protectors, restless spirits who just might turn out to be more than legends after all! Spotlight editions are printed on high-quality paper and with reinforced library bindings specifically printed for the library market. Grades 6-12.","Tôi muốn viết bài đánh giá về cuốn sách ""Indiana Jones and the Sargasso Pirates Vol. 2"" tập trung vào sự pha trộn giữa yếu tố phiêu lưu khảo cổ học và yếu tố siêu nhiên, khám phá cách Indy đối mặt với những truyền thuyết về linh hồn bảo vệ kho báu."
80,Trouble Maker (The MacKenzie Family #10.5),"Marnie Whitlock has never known what it's like to be normal. She and her family moved from place to place, hiding from reporters and psychologists, all because of her gift. A curse was more like it. Seeing a victim, feeling his pain as the last of his life ebbed away, and being helpless to save him. It was torture. And then one day it disappeared and she was free. Until those who hunted her for her gift tried to kill her. And then the gift came back with a vengeance.
Beckett Hamilton leads a simple life. His ranch is profitable and a legacy he'll be proud to pass onto his children one day, work fills his time from sunup to sundown, and his romances are short and sweet. He wouldn't have it any other way. And then he runs into quiet and reserved Marnie Whitlock just after she moves to town. She intrigues him like no woman ever has. And she's hiding something. His hope is that she begins to trust him before it's too late.","Viết bài đánh giá về ""Trouble Maker"" tập trung vào cách Marnie đối mặt với gánh nặng ""món quà"" của mình và hành trình vượt qua nỗi sợ hãi, tìm kiếm sự chấp nhận bản thân."
81,"Conflicted Interest (The Conflicted Series, #1)","Theo flies to Athens for a wedding with a plan: stay for the vows, raise a toast, and get the hell back to work. He's staring down the barrel of the biggest gamble of his career, and can't afford the distractions of a glamorous city or desirable women; neither of which excite him much anyway.
Until he meets Audrey. 
Brilliant, ruthless, and set on conquering the finance world, the young exec would rather be catching a London red-eye, than a mangled wedding bouquet. But when tall, mysterious Theo pulls her onto the dance floor, all thoughts of clients and contracts vanish. The man is intoxicating; his warm touch lingers long after his hands have left her body. They're from different cities and different worlds--it would never work.
And yet she's haunted by the brush of his lips against her throat, the delicious press of his body... 
But Theo is keeping secrets that could break Audrey's heart and destroy everything she's worked for. In this careful dance of power and seduction, has Theo finally met his match?
Conflicted Interest is the first steamy installment of the sensual contemporary romance Conflicted Series, intended for ages 18+.","Đánh giá cuốn ""Conflicted Interest"" dưới góc độ ""quyền lực"" - cách nó được thể hiện, sử dụng và làm thay đổi động lực giữa Theo và Audrey trong mối quan hệ, cả trong và ngoài phòng ngủ."
82,"Hacking Exposed: Network Security Secrets & Solutions, Second Edition",High-profile viruses and hacking incidents serve to highlight the dangers of system security breaches. This text provides network administrators with a reference for implementing and maintaining sound security policies,"Đánh giá cuốn ""Hacking Exposed: Network Security Secrets & Solutions"" dưới góc độ cuộc chạy đua không ngừng giữa hacker và chuyên gia bảo mật, tập trung vào tính cấp thiết của việc liên tục cập nhật kiến thức và thích nghi trước các mối đe dọa an ninh mạng ngày càng tinh vi."
83,"Cowboy Dreams (Love's Legacy, #2)","A lace corset, a bar of rose scented soap...
Lovers Jeb McCain and Boone Fowler don't know what to expect when they find an unconscious man in the countryside, but it's certainly not a sexy little man dressed in a woman's lace corset.
They soon discover that they want Avery to join their little family, but to keep him safe, Avery has to become their wife. Can they convince Avery and the rest of Applegate Valley that the pretty man they've fallen for is a woman?
[Menage Amour: Erotic Western Alternative Menage a Trois Romance, M/M/M]"," "Đánh giá "Cowboy Dreams (Love's Legacy, #2)" tập trung vào việc cuốn sách khám phá những định kiến giới và thách thức các chuẩn mực xã hội thông qua mối quan hệ tay ba độc đáo của các nhân vật.\n""
84,Países imaginarios,"Orsinia... a land of medieval forests, stonewalled cities, and railways reaching into the mountains where the old gods dwell. A country where life is harsh, dreams are gentle, and people feel torn by powerful forces and fight to remain whole. In this enchanting collection, Ursula K. Le Guin brings to mainstream fiction the same compelling mastery of word and deed, of story and character, of violence and love, that has won her the Pushcart Prize, and the Kafka and National Book Awards.
- The Fountains
- The Barrow(October 1976, The Magazine of Fantasy & Science Fiction)
- Ile Forest
- Conversations at Night
- The Road East
- Brothers and Sisters(1976, The Little Magazine, Vol.10, Nos.1&2)
- A Week in the Country(1976, The Little Magazine, Vol.9, No.4)
- An die Musik(1961, The Western Humanities Review, Vol.XV, No.3)
- The House
- The Lady of Moge
- Imaginary Countries(1973, The Harvard Advocate)","Tôi muốn viết bài đánh giá về tập truyện ngắn ""Países imaginarios"" tập trung vào cách Ursula K. Le Guin khám phá sự giằng xé giữa truyền thống và hiện đại, giữa thế giới nội tâm và ngoại cảnh khắc nghiệt thông qua bối cảnh Orsinia."
85,Too Many Crooks Spoil the Broth (An Amish Bed and Breakfast Mystery with Recipes (PennDutch #1)),"An Amish Bed and Breakfast Mystery with Recipes - PennDutch Mysteries #1
Readers will delight in this laugh-out-loud cozy mystery debut - and relish the country cooking recipes included.
This debut mystery introduces Magdalena Yoder, prim, proper, and persnickety proprietor of the PennDutch Inn, where guests luxuriate in the true ""Amish experience,"" (read: doing Magdalena's chores and paying top dollar for the opportunity!).
When one of her more reclusive guests takes a tumble down the PennDutch's picturesquely steep staircase and breaks his neck, the timing couldn't be worse. It's the start of hunting season - and her inn is packed to capacity!
What at first seems to be a horrible accident (and insurance nightmare for Magdalena!) could turn out to be a much more sinister event; and when another mishap occurs, Magdalena is certain there is a killer in her group - and it's up to her to sniff out the culprit...before the world's most incompetent town sheriff throws her in jail!
""Bubbling over with mirth and mystery."" -Dorothy Cannell
""A delicious treat!"" -Carolyn G. Hart","Đánh giá cuốn ""Too Many Crooks Spoil the Broth"" tập trung vào sự xung đột giữa lối sống Amish truyền thống và thế giới hiện đại thông qua lăng kính hài hước và vụ án giết người kỳ lạ."
86,Ascendance,"Ten year old Landon Gasby is a tortured young boy who has been abused and neglected his entire life until one night when in a fit of rage and jealousy he is brutally murdered by his sadistic parents. Landon hopes to finally be with God but instead becomes trapped between heaven and hell. In order to save his soul he must face the demons of his past and find a way to let go of the hatred he feels towards his killers.
Unfortunately the horror is just beginning for Landon as he learns what truly happened while he was alive and discovers the dark secrets about his parents pasts. Landon's faith is put to the test as he is forced to witness the terror that unfolds on Lisa and Garrett as the child struggles to make the right choices that he hopes will save his soul from the fires of hell and the darkness of purgatory.
But Landon is unaware that the one helping him on this journey is the Dark One. The master of betrayal and deception is guiding Landon on his final journey with his own plans for Landon's soul. The Dark One waits patiently, hoping to deceive Landon into making the decision that will not only destroy the child's soul, but all of humanity.
In C Jones debut novel the traditional American Horror story becomes more like a nursery rhyme. Horror will forever be seen in a new and more disturbing light. C Jones will take you to the edge of sanity and humility as the story continues to terrify and sicken you to the core, page after page. Can you make it to the end?","Đánh giá cuốn ""Ascendance"" tập trung vào sự giằng xé nội tâm của Landon giữa lòng thù hận và sự tha thứ, và làm thế nào yếu tố đó ảnh hưởng đến số phận linh hồn cậu bé trước sự cám dỗ của Quỷ Dữ."
87,A Place Of Our Own (Texas Heat #3),"A Contemporary Cowboy Romance Novel
This is book 3 in the Texas Heat series and it features the lively O'Connor family, who work hard and love hard
In love with Maddie from the next ranch, Jim O'Connor has tried everything he knows to get her back. Everything except the one thing that Maddie asks for: a place of their own.
His brother has made it a life mission to make things impossible for Jim and he needs to find a way to get around the unrelenting stance of his brother in order to get the love of his life.
Maddie loves Jim with everything she has, but she's not willing to compromise on that one point. She wants a place where they can live and grow together without the constant interference of his family. In order to truly be together, they need to learn the value of compromise and how to meet each other half way.","Tôi muốn viết bài đánh giá về cuốn sách ""A Place Of Our Own (Texas Heat #3)"" tập trung vào sự giằng xé giữa tình yêu gia đình và khát vọng tự do cá nhân, thể hiện qua việc Jim phải vượt qua sự cản trở của gia đình để có được hạnh phúc với Maddie."
88,Vermin,"When you asks what I'm doin here an I says, 'fuckin rubbish', I ain't bein rude, nor disrespectful. The truth is, that's just how it began... with a pile of stinkin rubbish dumped in a skip... an if it hadn't bin for that rubbish, I wouldn't be where I am now, though I can't say I might not of landed up here some time through some other set of circumstances, if you gets what I mean. After all, that's life, en it?
Gloria Eden, known as 'Glory', is a semi-literate, middle-aged woman living on the edge - a bag-lady. Her world is that of urban dereliction and social vermin - drop-outs, misfits, the homeless. Unexpectedly she comes to the rescue of a young boy who has run away from home, Darren, and soon they are both on the run from the powers-that-be.
In her debut novel, Adrienne Silcock enters the mind of this enterprising anarchic survivor and gives her a voice forged from vernacular speech at its most vigorous. The six short stories that complete the volume also explore loners and social outsiders.","Phân tích cách cuốn sách ""Vermin"" khắc họa sự nổi dậy của những người bị xã hội ruồng bỏ và tiếng nói mạnh mẽ của họ, bất chấp hoàn cảnh sống khắc nghiệt."
89,Night Watch,"Mark Pacer opens the elevator door to begin his midnight shift at the U.S. State Department operations center and discovers the victim of an attempted murder. Mark, a young U.S. diplomat in Washington in the year 1983 after several tours abroad, saves the man's life. The man is a crusty ambassador, Hank Lowell, the father of one of Mark's classmates when Mark began diplomatic training. Hank's son later resigned and disappeared. Who is attacking diplomats in the supposedly secure halls of the State Department and stealing classified documents? Is one of Mark's colleagues a mole planted by one of the increasingly active anti-American groups? And what happened to Ambassador Lowell's son? What secret is the ambassador hiding","Tôi muốn viết bài đánh giá về cuốn sách ""Night Watch"" tập trung vào sự phản ánh của bối cảnh Chiến Tranh Lạnh lên sự ngờ vực, bí mật và những âm mưu chính trị trong nội bộ Bộ Ngoại Giao Hoa Kỳ."
90,"Have Tech Will Travel (Starfleet Corps of Engineers Omnibus, #1)","HAVE TECH, WILL TRAVELSTARFLEET CORPS OF ENGINEERS
Need a gigantic, marauding starship explored? Is your global computer system starting to break down? Call in the crack team from the Starfleet Corps of Engineers. Overseen by Captain Montgomery Scott from his office at Starfleet Headquarters, the S.C.E. can build, rebuild, program, reprogram, assemble, reassemble, or just figure out everything from alien replicators to doomsday machines. Just don't expect them to perform miracles -- unless they absolutely have to. 
Captain David Gold, his first officer Commander Sonya Gomez, and the crew of the U.S.S. da Vinciput their lives on the line to save a colony world threatened by a deadly alien and rescue a ship trappedin the ravages of interphase. 
Join Starfleet's miracle workers for a wrenching journey through the new frontier!
Contains:
THE BELLY OF THE BEAST by Dean Wesley Smith
FATAL ERROR by Keith R. A. DeCandido
HARD CRASH by Christie Golden
INTERPHASE: BOOK ONE by Dayton Ward & Kevin Dilmore","Viết đánh giá về ""Have Tech Will Travel (Starfleet Corps of Engineers Omnibus, #1)"" tập trung vào cách S.C.E. giải quyết vấn đề bằng sự sáng tạo và tinh thần đồng đội, vượt qua giới hạn của công nghệ và quy trình tiêu chuẩn."
91,"Children of the Dark Light (Haunted Minds, #4)","A beautiful house of dark red brick and gothic style stands on Normandy Road. It has had many inhabitants over the years, and is about to gain some new tenants.
However, the house has never truly been empty. There's something there, and it has always been there. To some, the horrors that reside in Normandy Road are just myths, legends, and in the present day, there is nothing to be scared of.
But there are some that have seen and felt their presence. Their sleep is ripped apart as the nightmarish entities that reside there manage to torment their day.
Something lives in that house. It senses its time has come. A time of evil. Sometimes, they work on their own. Collectively, they are known as The Dead Ones, to others they are known as the Children of the Dark Light; and as improbable and implausible as it may seem; somehow, somewhere, you've met them before....
--
MATURE CONTENT 18+ Contains adult content. Not to be read by minors / people under the age of 18. Contains sexual content, religious references and strong scenes of psychological terror that some readers will find disturbing.","Đánh giá cuốn sách ""Children of the Dark Light (Haunted Minds, #4)"", tập trung vào cách tác giả xây dựng và khai thác nỗi sợ hãi tâm lý, đặc biệt là sự xâm nhập dần dần của những thực thể siêu nhiên vào tâm trí và cuộc sống của các nhân vật."
92,Fred and Ginger,"A sexy,funny, stand alone Christmas short story.
Patisserie Chef Christopher Miller works for Big Boy Cupcakes, London's only gay bakery. His boss closed the bakery on the 23rd of December, to take his husband away for their first wedded Christmas. Chris is looking forward to some well needed time off,and spending Christmas ALONE. But then his boss calls him with a last minute order--the order of his dreams--to bake for his movie idol, actor Jason Beck.
Just as Chris is about to deliver the order, his dreams are turned upside down by an explosive, fateful meeting with Fred, an errant Chocolate Labrador. The dog's owner turns out to be Robin Summers, a one night stand from months before...the man that Chris could not forget...
Wordcount:11,665","Viết bài đánh giá về ""Fred and Ginger"" tập trung vào cách câu chuyện khắc họa sự thay đổi trong quan điểm của nhân vật chính về tình yêu và sự cô đơn trong dịp Giáng Sinh, từ mong muốn ở một mình đến việc mở lòng đón nhận những kết nối bất ngờ."
93,Ghost Moon (Moon #7),"York delivers the seventh novel in her paranormal Moon series. A freed slave from a parallel universe, Quinn has come to this world on a mission, but she's interrupted by the ghost of Caleb, a seductive werewolf who had been murdered by the ancestors of Quinn's dearest friends. Original.","Đánh giá cuốn ""Ghost Moon (Moon #7)"" tập trung vào cách tác giả khai thác sự giằng xé giữa lòng trắc ẩn và nhiệm vụ báo thù của Quinn trước linh hồn quyến rũ Caleb, đặt ra câu hỏi về công lý và tha thứ trong một thế giới song song đầy rẫy hận thù."
94,The Blacksmith,"A man is born who cannot speak the truth, and decides to seek his fortune as a blacksmith. But what will he do when the only words he can speak to the woman he loves will end up breaking her heart?","Đánh giá cuốn sách ""The Blacksmith"" tập trung vào sự giằng xé giữa tình yêu và sự thật, khi nhân vật chính bị nguyền rủa phải lựa chọn giữa việc bảo vệ người mình yêu bằng lời nói dối, hay hủy hoại cô ấy bằng sự thật trần trụi."
95,"Shadows Return (Nightrunner, #4)","With their most treacherous mission yet behind them, heroes Seregil and Alec resume their double life as dissolute nobles and master spies. But in a world of rivals and charmers, fate has a different plan....
After their victory in Aurenen, Alec and Seregil have returned home to Rhiminee. But with most of their allies dead or exiled, it is difficult for them to settle in. Hoping for diversion, they accept an assignment that will take them back to Seregil's homeland. En route, however, they are ambushed and separated, and both are sold into slavery. Clinging to life, Seregil is sustained only by the hope that Alec is alive.
But it is not Alec's life his strange master wants--it is his blood. For his unique lineage is capable of producing a rare treasure, but only through a harrowing process that will test him body and soul and unwittingly entangle him and Seregil in the realm of alchemists and madmen--and an enigmatic creature that may hold their very destiny in its inhuman hands.... But will it prove to be savior or monster?","Đánh giá cuốn ""Shadows Return (Nightrunner, #4)"" tập trung vào sự giằng xé giữa lòng trung thành và sự tự do cá nhân mà Seregil và Alec phải đối mặt khi bị bán làm nô lệ và buộc phải lựa chọn giữa phục vụ chủ nhân mới hay tìm cách trốn thoát để bảo vệ nhau."
96,Forever Amber,"Abandoned pregnant and penniless on the teeming streets of London, 16-year-old Amber St. Clare manages, by using her wits, beauty, and courage, to climb to the highest position a woman could achieve in Restoration England--that of favorite mistress of the Merry Monarch, Charles II. From whores and highwaymen to courtiers and noblemen, from events such as the Great Plague and the Fire of London to the intimate passions of ordinary--and extraordinary--men and women, Amber experiences it all. But throughout her trials and escapades, she remains, in her heart, true to the one man she really loves, the one man she can never have. Frequently compared to Gone with the Wind, Forever Amberis the other great historical romance, outselling every other American novel of the 1940s--despite being banned in Boston for its sheer sexiness. A book to read and reread, this edition brings back to print an unforgettable romance and a timeless masterpiece.","Tôi muốn viết bài đánh giá về cuốn sách ""Forever Amber"" tập trung vào sự giằng xé giữa tham vọng địa vị xã hội và khát vọng tình yêu đích thực của Amber St. Clare trong bối cảnh xã hội Anh thế kỷ 17."
97,The Billionaire's Puppy - Book 3: Broken In,"Rex is finally ready to have a go at his new puppy's cute bottom, all hot and bothered after spending his workday watching the boy being trained, used and dominated by Max through the house security cameras. A voyeur as well as dominant control freak, Rex asks Max to join in on the fun; wanting to see his brawny chief of security stretch his boy wide open before he himself has a go...
This 5,200 word story includes puppy play, rough sex, big toys, and a cute boy being worked over by a hunky billionaire and his sexy chief of security.","Đánh giá cuốn "The Billionaire's Puppy - Book 3: Broken In" tập trung vào khía cạnh **sự kết hợp giữa voyeurism, quyền lực và sự đồng thuận (hoặc thiếu nó)** trong mối quan hệ giữa Rex, Max và "puppy". Phân tích động cơ và tác động của việc Rex sử dụng camera an ninh để theo dõi và điều khiển "puppy", cũng như vai trò của Max trong việc thực hiện những mong muốn của Rex."
98,"They Fight Like Soldiers, They Die Like Children: The Global Quest to Eradicate the Use of Child Soldiers","""It is my hope that through the pages of this remarkable book, you will discover groundbreaking thoughts on building partnerships and networks to enhance the global movement to end child soldiering; you will gain new and holistic insights on what constitutes a child soldier; you will learn more about girl soldiers, who have not been fully considered in the discussion of this issue; you will discover methods on how to influence national policies and the training of security forces; and you will find practical steps that will foster better coordination between security forces and humanitarian efforts.""-Ishmael Beah 
As the leader of the ill-fated United Nations peacekeeping force in Rwanda, Lieutenant-General Romeo Dallaire came face-to-face with the horrifying reality of child soldiers during the genocide of 1994. Since then the incidence of child soldiers has proliferated in conflicts around the world: they are cheap, plentiful, expendable, with an incredible capacity, once drugged and brainwashed, for both loyalty and barbarism.
The dilemma of the adult soldier who faces them is poignantly expressed in this book's title: when children are shooting at you, they are soldiers, but as soon as they are wounded or killed, they are children once again. Believing that not one of us should tolerate a child being used in this fashion, Dallaire has made it his mission to end the use of child soldiers. Where Ishmael Beah's A Long Way Gone gave us wrenching testimony of the devastating experience of being a child soldier, Dallaire offers intellectually daring and enlightened approaches to the child soldier phenomenon, and insightful, empowering solutions to eradicate it.","Tôi muốn viết bài đánh giá về cuốn sách ""They Fight Like Soldiers, They Die Like Children"" tập trung vào thách thức đạo đức và tâm lý mà người lính trưởng thành phải đối mặt khi đối đầu với những đứa trẻ bị biến thành công cụ chiến tranh, thể hiện qua sự giằng xé giữa việc nhìn nhận chúng như những người lính và những đứa trẻ vô tội."
99,The Ego and the Id,"The Ego and the Idranks high among the works of Freud's later years. The heart of his concern is the ego, which he sees battling with three forces: the id, the super-ego, and the outside world.
Of the various English translations of Freud's major works to appear in his lifetime, only one was authorized by Freud himself: The Standard Edition of the Complete Psychological Works of Sigmund Freudunder the general editorship of James Strachey.
Freud approved the overall editorial plan, specific renderings of key words and phrases, and the addition of valuable notes, from bibliographical and explanatory. Many of the translations were done by Strachey himself; the rest were prepared under his supervision. The result was to place the Standard Editionin a position of unquestioned supremacy over all other existing versions.","Tôi muốn viết bài đánh giá về cuốn sách ""The Ego and the Id"" tập trung vào cuộc đấu tranh giữa bản năng (Id), lý trí (Ego) và lương tâm (Super-ego) trong việc hình thành nên nhân cách và hành vi con người."
